Department,Course Code,Human Health,Data and Computation,AI,Clean Energy and Materials,Climate,Science and Society,Faculty of Arts: Ways of Knowing,Notes
CAPS,ANAT_V 392,,,,,,,,
CAPS,ANAT_V 448,,,,,,,,
PHAS,ASTR_V 101,,,,,,,,
PHAS,ASTR_V 200,,,,,,,,
PHAS,ASTR_V 300,,,,,,,,
PHAS,ASTR_V 310,,,,,,,,
PHAS,ASTR_V 333,,,,,,,,
PHAS,ASTR_V 349,,,,,,,,
PHAS,ASTR_V 404,,,,,,,,
PHAS,ASTR_V 406,,,,,,,,
PHAS,ASTR_V 449,,,,,,,,
EOAS,ATSC_V 113,,,,,X,,X,
EOAS,ATSC_V 201,,,,,X,,,
EOAS,ATSC_V212,,X,,,,,,non-specialist
EOAS,ATSC_V 301,,,,,,,,
EOAS,ATSC_V 313,,,,,X,,,hybrid course
EOAS,ATSC_V 398,,,,,,,,
EOAS,ATSC_V 399,,,,,,,,
EOAS,ATSC_V 404,,,,,X,,,
EOAS,ATSC_V 413,,,,,,,,
EOAS,ATSC_V 448,,,,,,,,
EOAS,ATSC_V 449,,,,,,,,
EOAS,ATSC_V 498,,,,,,,,
EOAS,ATSC_V 499,,,,,,,,
BIOC,BIOC_V 202,,,,,,,,
BIOC,BIOC_V 301,,,,,,,,
BIOC,BIOC_V 302,,,,,,,,
BIOC,BIOC_V 303,,,,,,,,
BIOC,BIOC_V 398,,,,,,,,
BIOC,BIOC_V 399,,,,,,,,
BIOC,BIOC_V 402,,,,,,,,
BIOC,BIOC_V 404,,,,,,,,
BIOC,BIOC_V 410,,,,,,,,
BIOC,BIOC_V 420,,,,,,,,
BIOC,BIOC_V 448,,,,,,,,
BIOC,BIOC_V 449,,,,,,,,
BIOC,BIOC_V 498,,,,,,,,
BIOC,BIOC_V 499,,,,,,,,
BIOL,BIOL_V 111,,,,,,,,
BIOL,BIOL_V 112,,,,,,,,
BIOL,BIOL_V 121,,,,,,,,
BIOL,BIOL_V 155,X,,,,,,,
BIOL,BIOL_V 180,,,,,,,,
BIOL,BIOL_V 200,,,,,,,,
BIOL,BIOL_V 201,,,,,,,,
BIOL,BIOL_V 203,,,,,,,,
BIOL,BIOL_V 204,,,,,,,,
BIOL,BIOL_V 205,,,,,,,,
BIOL,BIOL_V 209,,,,,,,,
BIOL,BIOL_V 210,,,,,,,,
BIOL,BIOL_V 230,,,,,,,,
BIOL,BIOL_V 234,,,,,,,,
BIOL,BIOL_V 260,,,,,,,,
BIOL,BIOL_V 300,,,,,,,,
BIOL,BIOL_V 301,,,,,,,,
BIOL,BIOL_V 303,,,,,,X,,
BIOL,BIOL_V 306,,,,,,,,
BIOL,BIOL_V 310,,,,,,,,
BIOL,BIOL_V 311,,,,,,,,
BIOL,BIOL_V 314,,,,,,,,
BIOL,BIOL_V 320,,,,,,,,
BIOL,BIOL_V 321,,,,,,,,
BIOL,BIOL_V 323,,,,,,,,
BIOL,BIOL_V 324,,,,,,,,
BIOL,BIOL_V 325,,,,,,,,
BIOL,BIOL_V 326,,,,,,,,
BIOL,BIOL_V 327,,,,,,,,
BIOL,BIOL_V 329,,,,,,,,
BIOL,BIOL_V 331,,,,,,,,
BIOL,BIOL_V 332,,,,,,,,
BIOL,BIOL_V 335,,,,,,,,
BIOL,BIOL_V 336,,,,,,,,
BIOL,BIOL_V 337,,,,,,,,
BIOL,BIOL_V 338,,,,,,,,
BIOL,BIOL_V 340,,,,,,,,
BIOL,BIOL_V 341,,,,,,,,
BIOL,BIOL_V 342,,,,,,,,
BIOL,BIOL_V 343,,,,,,X,,
BIOL,BIOL_V 344,,,,,,,,
BIOL,BIOL_V 346,,,,,,,,
BIOL,BIOL_V 347,,,,,,,,
BIOL,BIOL_V 348,,,,,,,,
BIOL,BIOL_V 350,,,,,,,,
BIOL,BIOL_V 351,,,,,,,,
BIOL,BIOL_V 352,,,,,,,,
BIOL,BIOL_V 362,,,,,,,,
BIOL,BIOL_V 363,,,,,,,,
BIOL,BIOL_V 364,,,,,,,,
BIOL,BIOL_V 370,,,,,,,,
BIOL,BIOL_V 371,,,,,,,,
BIOL,BIOL_V 372,,,,,,,,
BIOL,BIOL_V 398,,,,,,,,
BIOL,BIOL_V 399,,,,,,,,
BIOL,BIOL_V 402,,,,,,,,
BIOL,BIOL_V 403,,,,,,,,
BIOL,BIOL_V 404,,,,,,,,
BIOL,BIOL_V 406,,,,,,,,
BIOL,BIOL_V 411,,,,,,,,
BIOL,BIOL_V 412,,,,,,,,
BIOL,BIOL_V 413,,,,,,,,
BIOL,BIOL_V 415,,,,,,,,
BIOL,BIOL_V 416,,,,,,,,
BIOL,BIOL_V 417,,,,,,,,
BIOL,BIOL_V 418,,,,,,,,
BIOL,BIOL_V 420,,,,,,,,
BIOL,BIOL_V 421,,,,,,,,
BIOL,BIOL_V 425,,,,,,,,
BIOL,BIOL_V 427,,,,,,,,
BIOL,BIOL_V 428,,,,,,,,
BIOL,BIOL_V 430,,,,,,,,
BIOL,BIOL_V 431,,,,,,,,
BIOL,BIOL_V 432,,,,,,,,
BIOL,BIOL_V 433,,,,,,,,
BIOL,BIOL_V 434,,,,,,,,
